"APPLIC";"NM_PAGINA_WEB";"DS_PAGINA_WEB";"TI_HELP_ON_LINE";"ENTRY_MENU"
"DPI_xxx";"/amministrazioneSistema/configurazioneLogger";"Configurazione livelli di log";"HELP_PAGINA";"Menu principale - Amministrazione Sistema - Configurazione livelli logger"
"DPI_xxx";"/amministrazioneSistema/gestioneJob";"Gestione job";"HELP_PAGINA";"Menu principale - Amministrazione Sistema - Gestione job"
"DPI_xxx";"/config";"Home - File di configurazione DPI";"HELP_PAGINA";"Menu principale"
"DPI_xxx";"/home";"Home - Home";"HELP_PAGINA";"Menu principale"
"DPI_xxx";"/login/informativa";"Informativa sui cookies";"HELP_PAGINA";"Menu principale"
"DPI_xxx";"/monitoraggio/chiusuraWarning";"Chiusura studi in warning";"HELP_PAGINA";"Menu principale - Monitoraggio - Ricerca diario"
"DPI_xxx";"/monitoraggio/confermaConfrontoPacsPreIngest";"Conferma confronto Pacs - PreIngest";"HELP_PAGINA";"Menu principale - Monitoraggio - Confronto Pacs con PreIngest"
"DPI_xxx";"/monitoraggio/confrontoPacsPreIngest";"Confronto Pacs con PreIngest";"HELP_PAGINA";"Menu principale - Monitoraggio - Confronto Pacs con PreIngest"
"DPI_xxx";"/monitoraggio/dettaglioStudio";"Dettaglio studio";"HELP_PAGINA";"Menu principale - Monitoraggio - Ricerca diario"
"DPI_xxx";"/monitoraggio/forzaAccettazioneWarning";"Forzatura accettazione studi in warning";"HELP_PAGINA";"Menu principale - Monitoraggio - Ricerca diario"
"DPI_xxx";"/monitoraggio/ricercaDiario";"Ricerca diario";"HELP_PAGINA";"Menu principale - Monitoraggio - Ricerca diario"
"DPI_xxx";"/monitoraggio/ricercaRestituzioniStudi";"Ricerca restituzioni studi";"HELP_PAGINA";"Menu principale - Monitoraggio - Ricerca restituzione studi"
"DPI_xxx";"/monitoraggio/trasferimentoPacs";"Scelta Pacs a cui traferire studio";"HELP_PAGINA";"Menu principale - Monitoraggio - Confronto Pacs con PreIngest"
